premise,hypothesis,label,triplet_nr
Mountain biker riding on a dirt path with two people watching in the background.,People watch a bike race in the mountains.,1,47563
Soccer players aggressively playing defense to prevent a score.,A nice baseball game is in progress.,2,47570
Soccer players aggressively playing defense to prevent a score.,People are playing soccer.,0,47570
Soccer players aggressively playing defense to prevent a score.,People are playing soccer at the World Cup.,1,47570
two dogs playing with a ball.,The animals are playing.,0,47580
two dogs playing with a ball.,The dogs are sitting completely still.,2,47580
two dogs playing with a ball.,The dogs are outside.,1,47580
A brown puppy is laying on its back in the grass.,A puppy is outside.,0,47587
A brown puppy is laying on its back in the grass.,A brown puppy lies on the grass hoping the squirrel comes by.,1,47587
A brown puppy is laying on its back in the grass.,A black puppy runs through the grass.,2,47587
A child near a blue stage with a colorful creature on it.,The child is at a concert.,1,47593
A child near a blue stage with a colorful creature on it.,The child is asleep in his bed.,2,47593
A child near a blue stage with a colorful creature on it.,A child is near a stage.,0,47593
A woman sitting on a bench in front of a large painting.,A woman dead on the sidewalk.,2,47646
A woman sitting on a bench in front of a large painting.,A woman sitting in front of a building.,0,47646
A woman sitting on a bench in front of a large painting.,A woman sitting alone in front of a building.,1,47646
2 people one wearing a blue shirt the other orange taking a bike ride in the country with a beautiful orange sunset behind them.,Two people are outdoors,0,47653
2 people one wearing a blue shirt the other orange taking a bike ride in the country with a beautiful orange sunset behind them.,Two people ride a tandem bike together,1,47653
2 people one wearing a blue shirt the other orange taking a bike ride in the country with a beautiful orange sunset behind them.,2 people are enjoying the city,2,47653
a group of woman in pink dresses walking across a crosswalk towards a cruisship.,Some people are getting ready to board a ship.,1,47670
a group of woman in pink dresses walking across a crosswalk towards a cruisship.,The women are getting on taxis.,2,47670
a group of woman in pink dresses walking across a crosswalk towards a cruisship.,Some people are outside walking.,0,47670
An elderly man with a long beard and hair and red dot on his head with white symbols.,A woman is getting her hair done.,2,47686
An elderly man with a long beard and hair and red dot on his head with white symbols.,An old man has facial hair.,0,47686
An elderly man with a long beard and hair and red dot on his head with white symbols.,There is an older indian man.,1,47686
People walking in costume during a street parade.,People are walking in a street parade to support awareness.,1,47719
People walking in costume during a street parade.,People are riding bikes down the street.,2,47719
People walking in costume during a street parade.,People are dressed in costumes.,0,47719
An old man in a suit is smoking a cigar and walking forward.,An old man is outside smoking a cigar.,1,47724
An old man in a suit is smoking a cigar and walking forward.,An old man is going for a walk.,0,47724
An old man in a suit is smoking a cigar and walking forward.,An old man is eating his lunch seated at the table.,2,47724
Tennis players all standing around a court.,Tennis players all standing around a court waiting for the matches to begin.,1,47725
Tennis players all standing around a court.,People are on a court.,0,47725
Tennis players all standing around a court.,Volleyball players gather round the coach during a time out.,2,47725
Man leaning on desk listening to someone on phone.,The man is listening to his rock music.,2,47728
Man leaning on desk listening to someone on phone.,The man is listening to his boss.,1,47728
Man leaning on desk listening to someone on phone.,Man is leaning on a desk.,0,47728
An oriental woman with glasses is playing a game in the arcade.,A woman is jumping off a cliff.,2,47747
An oriental woman with glasses is playing a game in the arcade., An oriental woman with glasses.,0,47747
An oriental woman with glasses is playing a game in the arcade., An oriental woman with glasses is playing a shooting game in the arcade.,1,47747
A baby standing next to a sofa smiles at the camera.,A baby is lying on the ground.,2,47749
A baby standing next to a sofa smiles at the camera.,He is posing for school pictures.,1,47749
A baby standing next to a sofa smiles at the camera.,A boy is looking at the camera.,0,47749
baby boy giggles while he tries to get up on his feet supported by a couch in a living room filled with toys.,A baby attempts to stand,0,47755
baby boy giggles while he tries to get up on his feet supported by a couch in a living room filled with toys.,A baby boy is trying to stand for the first time.,1,47755
baby boy giggles while he tries to get up on his feet supported by a couch in a living room filled with toys.,A baby attempts to stand as his family all watches,1,47755
A man in a hat turning and smiling towards the camera.,A male model smiles at the camera,1,47760
A man in a hat turning and smiling towards the camera.,A woman scowls at the peeping tom looking in her window,2,47760
A man in a hat turning and smiling towards the camera.,A man in a hat grins for the camera,0,47760
"A young woman in a brown shirt is in a kitchen, rubbing a piece of paper on a cookie sheet.",A person in a shirt,0,47764
"A young woman in a brown shirt is in a kitchen, rubbing a piece of paper on a cookie sheet.",Nobody has a shirt,2,47764
"A young woman in a brown shirt is in a kitchen, rubbing a piece of paper on a cookie sheet.",A tall person in a shirt,1,47764
A young girl and an older gentleman hold hands as he points to something off frame.,The girl is his granddaughter,1,47777
A young girl and an older gentleman hold hands as he points to something off frame.,The man is older,0,47777
A young girl and an older gentleman hold hands as he points to something off frame.,The girl is with her mother,2,47777
Two males on a street corner crooswalk with a billboard behind them.,Two males are fighting in a boxing match being streamed worldwide.,2,47810
Two males on a street corner crooswalk with a billboard behind them.,Two males are on a street corner.,0,47810
Two males on a street corner crooswalk with a billboard behind them.,Two males are waiting for a chicken to cross the road.,1,47810
A woman walks down the sidewalk and on a brick wall is graffiti.,A woman walks by a vandalized wall.,0,47831
A woman walks down the sidewalk and on a brick wall is graffiti.,A woman walks down 5th avenue.,2,47831
A woman walks down the sidewalk and on a brick wall is graffiti.,A woman walks in a crappy neighborhood.,1,47831
Snow is dusted on the young boy's clothing making it appear that he has fallen several times.,The boy has snow on his clothes.,0,47854
Snow is dusted on the young boy's clothing making it appear that he has fallen several times.,"The boy's clothing is clean, tidy, and dry.",2,47854
Snow is dusted on the young boy's clothing making it appear that he has fallen several times.,The boy's clothing has something all over it and he has been outside.,1,47854
Two mountain climbers sit on a mountain.,they are still in bed,2,47875
Two mountain climbers sit on a mountain.,two climbers are sitting,0,47875
Two mountain climbers sit on a mountain.,they made it to the top,1,47875
Young men listen to a presentation.,Young men listening to a school lecture,1,47876
Young men listen to a presentation.,Old women playing cards,2,47876
Young men listen to a presentation.,People watching something,0,47876
Several people are in a building and one is holding a drink bottle.,Several people in a building.,0,47878
Several people are in a building and one is holding a drink bottle.,Several people outside of a building.,2,47878
Several people are in a building and one is holding a drink bottle.,Several drunk people in a building and one is holding a drink bottle.,1,47878
A man in a white and blue vertically striped dress shirt with black hair stands in a room next to other people looking forward.,There is a man in a white and blue vertically striped dress shirt standing in a room and looking forward.,0,47880
A man in a white and blue vertically striped dress shirt with black hair stands in a room next to other people looking forward.,There is a man in a white and blue vertically striped dress shirt sitting in a room and looking behind.,2,47880
A man in a white and blue vertically striped dress shirt with black hair stands in a room next to other people looking forward.,There is a man in a white and blue vertically striped dress shirt standing in a room and looking at a baseball game.,1,47880
Two monks in traditional orange robes are descending a staircase.,Two monks travel down the stairs to their shrine.,0,47891
Two monks in traditional orange robes are descending a staircase.,Two monks meditating underneath a tree.,2,47891
Two monks in traditional orange robes are descending a staircase.,Two monks taking a walk outdoors.,1,47891
The two dogs are standing with their heads entwined around each other.,A couple of dogs stand close together,0,47893
The two dogs are standing with their heads entwined around each other.,Two long seperated dogs get to know each other once again,1,47893
The two dogs are standing with their heads entwined around each other.,A couple of cats grooming one other,2,47893
Two little orange and white dogs are in the snow.,Two small dogs are napping by the fireplace.,2,47905
Two little orange and white dogs are in the snow.,Two small dogs are playing in the snow together.,0,47905
Two little orange and white dogs are in the snow.,Two corgi dogs are jumping in the snow.,1,47905
Two men are waiting at a hospital.,Two men are inside of a hospital.,0,47964
Two men are waiting at a hospital.,Two men are waiting around a hospital.,1,47964
Two men are waiting at a hospital.,Two men are at home.,2,47964
One woman sits on a outcropping of rock while one takes a picture and the third looks down.,A picture of women on rocks,0,47976
One woman sits on a outcropping of rock while one takes a picture and the third looks down.,A man rushes to catch his train.,2,47976
One woman sits on a outcropping of rock while one takes a picture and the third looks down.,A woman takes pictures of her friends for her photography class.,1,47976
three multicolored dogs standing in a grassy field,Three dogs outside.,0,47996
three multicolored dogs standing in a grassy field,Three dogs in cages in the pet store.,2,47996
three multicolored dogs standing in a grassy field,Three dogs preparing for a hunt.,1,47996
A man who is playing electric guitar in front of a backdrop with planes.,A man plays a guitar in a performance.,0,48002
A man who is playing electric guitar in front of a backdrop with planes.,A guitarist performing in concert.,0,48002
A man who is playing electric guitar in front of a backdrop with planes.,A man is sitting down holding an electric guitar.,2,48002
A crowd of people walking.,The people are standing.,2,48011
A crowd of people walking.,A crowd of people.,0,48011
A crowd of people walking.,The people are protesting.,1,48011
The helmeted man rides a green Kawasaki.,He is racing.,1,48030
The helmeted man rides a green Kawasaki.,A man is wearing a helmet,0,48030
The helmeted man rides a green Kawasaki.,The man is on a scooter.,2,48030
A young man is standing in front of the Candy Cafe with a small tree with pink flowers in the front of the building.,There is a child running through a sprinkler.,2,48041
A young man is standing in front of the Candy Cafe with a small tree with pink flowers in the front of the building.,A young man is about to enter the Candy Cafe.,1,48041
A young man is standing in front of the Candy Cafe with a small tree with pink flowers in the front of the building.,A guy is in front of a business. A tree with flowers is in front.,0,48041
"A man wearing a blue shirt, a blue hat, and an apron is standing outside the Candy Cafe on a sunny day.",A man is standing inside the store.,2,48043
"A man wearing a blue shirt, a blue hat, and an apron is standing outside the Candy Cafe on a sunny day.",A man waits for the Candy Cafe to open so he can buy candy.,1,48043
"A man wearing a blue shirt, a blue hat, and an apron is standing outside the Candy Cafe on a sunny day.",A man is wearing a blue Nike hat.,1,48043
A young woman in a hat with a big pink bow stands alone on the street next to a table with fruits and fruit juice.,"The woman is brushing her teeth, about ready to go to bed.",2,48088
A young woman in a hat with a big pink bow stands alone on the street next to a table with fruits and fruit juice.,The woman is shopping at a local farmer's market.,1,48088
A young woman in a hat with a big pink bow stands alone on the street next to a table with fruits and fruit juice.,There is one woman in this picture and she is outside.,0,48088
A row of girls dressed in black sit on a stage.,A group of girls waiting for rehearsal,1,48116
A row of girls dressed in black sit on a stage.,A group of girls are on stage.,0,48116
A row of girls dressed in black sit on a stage.,A group of girls sitting at home,2,48116
Woman in white top chats while slicing bread.,She is getting ready to make a sandwich.,1,48120
Woman in white top chats while slicing bread.,The woman  is taking a nap while fishing.,2,48120
Woman in white top chats while slicing bread.,The lady is preparing food.,0,48120
A bunch of people in gear to keep you warm are outside in the snow.,A bunch of people are out in the snow.,0,48124
A bunch of people in gear to keep you warm are outside in the snow.,A bunch of people enjoy a hot summer day at the beach,2,48124
A bunch of people in gear to keep you warm are outside in the snow.,A bunch of people in winter gear are about to go skiing.,1,48124
A large group of people shopping in a marketplace at night.,A group of people are shopping at night.,0,48142
A large group of people shopping in a marketplace at night.,A large group of people are playing golf.,2,48142
A large group of people shopping in a marketplace at night.,A large group of people are finding good deals.,1,48142
This kitchen is newly furnished.,there is a new refrigerator,0,48172
This kitchen is newly furnished.,This room hasn't been refurbished in years.,2,48172
This kitchen is newly furnished.,This room was recently refurbished.,0,48172
A shiny brown motorcycle being viewed by a few people.,People on the street looking at a motorcycle.,1,48184
A shiny brown motorcycle being viewed by a few people.,The shiny brown motorcycle is made out of refried beans,2,48184
A shiny brown motorcycle being viewed by a few people.,The couple is deciding whether to buy the truck.,2,48184
The tennis player has her hair tied back,The players hair is tied back,0,48191
The tennis player has her hair tied back,The tennis player wants her hair out of her face.,1,48191
The tennis player has her hair tied back,The pro female players hair is tied back,1,48191
A man is giving a tan dog a green bone to chew on.,A man is with a dog.,0,48216
A man is giving a tan dog a green bone to chew on.,A man is playing with a dog.,1,48216
A man is giving a tan dog a green bone to chew on.,A woman is brushing a cat.,2,48216
"A man is walking on sand with a fishing rod and a fish he caught, while 4 people surround a jet ski in the water behind him.",The man is alone in a room.,2,48276
"A man is walking on sand with a fishing rod and a fish he caught, while 4 people surround a jet ski in the water behind him.",The man is catching fish to feed his family.,1,48276
"A man is walking on sand with a fishing rod and a fish he caught, while 4 people surround a jet ski in the water behind him.",A man is walking on the sand.,0,48276
Three men playing lawn hockey,Three babies playing lawn hockey.,2,48288
Three men playing lawn hockey,Three guys playing hockey on the lawn.,0,48288
Three men playing lawn hockey,Three men in jerseys playing lawn hockey.,1,48288
A woman in a white dress is sitting on a swing and reading from a black binder.,A woman sitting on a swing plans her wedding.,1,48289
A woman in a white dress is sitting on a swing and reading from a black binder.,A dog is playing outside.,2,48289
A woman in a white dress is sitting on a swing and reading from a black binder.,A woman in a dress is sitting on a swing.,0,48289
A boy performs a skateboarding trick down a set of stairs.,The boy is riding a skateboard.,0,48291
A boy performs a skateboarding trick down a set of stairs.,The boy is talented.,1,48291
A boy performs a skateboarding trick down a set of stairs.,The boy is walking on his hands.,2,48291
Mother tries some role reversal with her son in the kitchen.,There is a mother.,0,48305
Mother tries some role reversal with her son in the kitchen.,The mother is working with her son.,1,48305
Mother tries some role reversal with her son in the kitchen.,The mother is dead.,2,48305
A man reading a newspaper outside next to some trashcans.,The man is literate.,0,48323
A man reading a newspaper outside next to some trashcans.,The trashcan the man is next to is full.,1,48323
A man reading a newspaper outside next to some trashcans.,A man is reading a novel in outer space.,2,48323
A dog in a sandy area with the sand stirred up into the air and several plants in the background.,A dog kicked up sand into the air.,0,48327
A dog in a sandy area with the sand stirred up into the air and several plants in the background.,The dog is a Great Dane.,1,48327
A dog in a sandy area with the sand stirred up into the air and several plants in the background.,a dog plays in a jungle,1,48327
Boy in yellow shirt sitting in yellow playground slide,Boy in a yellow shirt is sitting on a colorful slide.,1,48338
Boy in yellow shirt sitting in yellow playground slide,Boy in a yellow shirt is sitting in a park.,0,48338
Boy in yellow shirt sitting in yellow playground slide,Boy in a yellow shirt is playing in the sand.,2,48338
A toddler is sitting inside a yellow tunnel in the playground.,A child is hiding from his mother.,1,48339
A toddler is sitting inside a yellow tunnel in the playground.,A child is outdoors.,0,48339
A toddler is sitting inside a yellow tunnel in the playground.,A child is sitting in a blue tent.,2,48339
"There is a woman sitting down in front of an organ, at a church, practicing or beginning to play.",The woman is playing a song at a wedding,1,48353
"There is a woman sitting down in front of an organ, at a church, practicing or beginning to play.",A woman is sitting at an organ.,0,48353
"There is a woman sitting down in front of an organ, at a church, practicing or beginning to play.",There is a person playing musice,0,48353
"A black, brown, and white dog jumping over a pile of logs with trees in the background.",Dogs eating a chew toy inside.,2,48408
"A black, brown, and white dog jumping over a pile of logs with trees in the background.",A mother dog jumping over logs with her two puppies.,1,48408
"A black, brown, and white dog jumping over a pile of logs with trees in the background.",Dogs playing outside.,0,48408
A man in a green shirt holding a ax on his shoulder.,The man has been chopping wood.,1,48422
A man in a green shirt holding a ax on his shoulder.,The man is wearing green.,0,48422
A man in a green shirt holding a ax on his shoulder.,The man's shirt is yellow.,2,48422
"An older man sitting on a blue stool playing a sitar for money, with a young boy sitting on a white sack next to him.",A man is playing a blue sitar,1,48452
"An older man sitting on a blue stool playing a sitar for money, with a young boy sitting on a white sack next to him.",A sitar is being eaten by a man,2,48452
"An older man sitting on a blue stool playing a sitar for money, with a young boy sitting on a white sack next to him.",A man plays a sitar,0,48452
A brunette woman wearing dark glasses and a red blouse is eating.,A brunette woman wearing dark glasses and a red blouse is eating,0,48456
A brunette woman wearing dark glasses and a red blouse is eating.,The brunette woman was watching tv,2,48456
A brunette woman wearing dark glasses and a red blouse is eating.,The brunette woman was really hungry,1,48456
A crowd of people are enjoying a meal with a view of a mountaintop.,The wedding party enjoys their lobsters.,1,48463
A crowd of people are enjoying a meal with a view of a mountaintop.,The women attempts to climb the mountain safely.,2,48463
A crowd of people are enjoying a meal with a view of a mountaintop.,The group is eating while taking in a breathtaking view.,0,48463
a group of people looking out of a window onto the street.,one person looks out the window,2,48476
a group of people looking out of a window onto the street.,a group of people are looking out a window,0,48476
a group of people looking out of a window onto the street.,a group of people are looking out the window at the car crash,1,48476
A girl is dressed up and wearing a large broach with pearls.,A girl is wearing her mothers's pearl broach.,1,48486
A girl is dressed up and wearing a large broach with pearls.,A girl is wearing a large broach of pearls.,0,48486
A girl is dressed up and wearing a large broach with pearls.,A girl is wearing a broach made of teeth.,2,48486
A group of women are having makeup applied.,A group of men are getting haircuts in a barber shop.,2,48501
A group of women are having makeup applied.,Models at a photo shoot are having their makeup touched up.,1,48501
A group of women are having makeup applied.,Femles are putting on cosmetics.,0,48501
Someone loading bunches of flowers onto their bicycle.,a person loading flowers,1,48520
Someone loading bunches of flowers onto their bicycle.,a person loading flowers onto their vehicle,0,48520
Someone loading bunches of flowers onto their bicycle.,a person working indoors on a computer,2,48520
Two people waiting in a station.,The man and woman is waiting for train that is running late.,1,48522
Two people waiting in a station.,Some people are sitting on a bench waiting for the train.,0,48522
Two people waiting in a station.,The people are running after the train.,2,48522
Three young men playing a game of Monopoly in which two of them are physically arguing.,Three young men peacefully play a game of Scrabble.,2,48537
Three young men playing a game of Monopoly in which two of them are physically arguing.,"Three men playing monopoly, and two are arguing.",0,48537
Three young men playing a game of Monopoly in which two of them are physically arguing.,Three young men play a boardgame.,0,48537
A group of school children looking at a group on men wearing white shirts,The kids are playing catch.,2,48551
A group of school children looking at a group on men wearing white shirts,Children are observing some men in white shirts.,0,48551
A group of school children looking at a group on men wearing white shirts,Men are being observed by kids,0,48551
Construction workers are laying bricks in the median of a train station.,Construction workers lay black bricks in a median.,1,48567
Construction workers are laying bricks in the median of a train station.,Construction is occurring at a train station.,0,48567
Construction workers are laying bricks in the median of a train station.,Construction workers are pouring cement in the median of a train station.,2,48567
"A man in a blue shirt, works on a long canoe.",The man is working.,0,48571
"A man in a blue shirt, works on a long canoe.",The man takes pride in his work.,1,48571
"A man in a blue shirt, works on a long canoe.",The man is in a sinking ship.,2,48571
Two men are lifting a sheet of glass that has a blue piece of equipment attached to it.,Two men sitting down watching tv.,2,48582
Two men are lifting a sheet of glass that has a blue piece of equipment attached to it.,Men lifting a sheet of glass.,0,48582
Two men are lifting a sheet of glass that has a blue piece of equipment attached to it.,Two guys picking up a sheet of glass to fix a window.,1,48582
A group of bicyclists are all riding their bikes in a line on the street.,The bicyclists are outside.,0,48598
A group of bicyclists are all riding their bikes in a line on the street.,The bicyclists are standing next to their bikes.,2,48598
A group of bicyclists are all riding their bikes in a line on the street.,The bicyclists are wearing helmets.,1,48598
A person wearing a blue hard hat working with rope.,A construction worker working with rope.,0,48639
A person wearing a blue hard hat working with rope.,A person wearing a green hard hat working with rope.,2,48639
A person wearing a blue hard hat working with rope.,Teh worker is trying to tie knots in the rope.,1,48639
A bicyclist is in the mud walking their bicycle.,A bicyclist is riding in the rain.,2,48659
A bicyclist is in the mud walking their bicycle.,The cyclist is male.,1,48659
A bicyclist is in the mud walking their bicycle.,There is mud.,0,48659
A toddler in heavy clothing sitting in the snow.,The kid is scared,1,48666
A toddler in heavy clothing sitting in the snow.,The kid is wearing a swimsuit,2,48666
A toddler in heavy clothing sitting in the snow.,A kid is in the snow,0,48666
A woman in white stands at the entrance of a shop.,A woman is blocking the entrance to a store.,1,48674
A woman in white stands at the entrance of a shop.,A woman is robbing someone at gunpoint.,2,48674
A woman in white stands at the entrance of a shop.,A person is in a store.,0,48674
"There is a man wearing construction gear, standing next to a bulldozer that is picking up rubble and debris.",A man is directing a bulldozer.,1,48697
"There is a man wearing construction gear, standing next to a bulldozer that is picking up rubble and debris.",He is wearing a tuxedo.,2,48697
"There is a man wearing construction gear, standing next to a bulldozer that is picking up rubble and debris.",A man is picking up the remains of a recently demolished building.,1,48697
A blond woman sitting in a waiting room reading a magazine article while a young man smiles in the background.,A pretty blond woman sitting in a waiting room reading a magazine article,1,48699
A blond woman sitting in a waiting room reading a magazine article while a young man smiles in the background.,A blond woman sitting in a waiting room reading a magazine article,0,48699
A blond woman sitting in a waiting room reading a magazine article while a young man smiles in the background.,A blond woman sitting in a waiting room eating a magazine article,2,48699
A group of children sitting on a ledge eating in front of a huge gorilla at the ocean.,Adults feeding a gorilla at the zoo.,2,48711
A group of children sitting on a ledge eating in front of a huge gorilla at the ocean.,Children eating some food in front of a gorilla.,0,48711
A group of children sitting on a ledge eating in front of a huge gorilla at the ocean.,Children eating some pizza in front of a gorilla,1,48711
"Three children, wearing green, yellow, and blue uniforms, are sitting and standing near two women.",Three old men sit by two women.,2,48715
"Three children, wearing green, yellow, and blue uniforms, are sitting and standing near two women.",Three children are sitting by two women.,0,48715
"Three children, wearing green, yellow, and blue uniforms, are sitting and standing near two women.",Three children are sitting near their moms.,1,48715
The field crew clean up water from the track after the rain.,The field crew are at lunch and it hasn't rained.,2,48718
The field crew clean up water from the track after the rain.,Men are working outside.,0,48718
The field crew clean up water from the track after the rain.,The field crew cleaned up the water with towels.,1,48718
The swimmer in the middle lane appears to be ahead of the swimmers in the lanes on each side of him.,A swimmer is getting read to get in the pool.,2,48748
The swimmer in the middle lane appears to be ahead of the swimmers in the lanes on each side of him.,A swimmer is beating the competition at a swim meet.,1,48748
The swimmer in the middle lane appears to be ahead of the swimmers in the lanes on each side of him.,A swimmer is in the pool.,0,48748
An Asian man prepares his camera to take pictures with.,An Asian man has a camera,0,48785
An Asian man prepares his camera to take pictures with.,An Asian man puts in new film in his camera,1,48785
An Asian man prepares his camera to take pictures with.,An Asian man throws his camera in the garbage,2,48785
A group of people running on a beach at dawn.,Training on the beach at dawn.,1,48794
A group of people running on a beach at dawn.,Running on the beach.,0,48794
A group of people running on a beach at dawn.,A group of people sleeping by a campfire.,2,48794
A child leaping from bed to bed behind the back of a man.,A child is jumping.,0,48811
A child leaping from bed to bed behind the back of a man.,A child is asleep.,2,48811
A child leaping from bed to bed behind the back of a man.,A child is trying hit the ceiling.,1,48811
Three women are riding in a carriage together.,There's three ladies and a carriage,0,48855
Three women are riding in a carriage together.,Three women hiked through the woods.,2,48855
Three women are riding in a carriage together.,The women are riding in a carriage.,0,48855
Three workers in fluorescent orange clothing cleaning the subway tracks.,The workers on taking the train right now.,2,48874
Three workers in fluorescent orange clothing cleaning the subway tracks.,The workers are busy cleaning the tracks.,0,48874
Three workers in fluorescent orange clothing cleaning the subway tracks.,Three inmates in a work program attempt to clean the grimy subway tracks.,0,48874
A woman sits on a chair against a blue wall beside a tennis court.,A women observes the tennis court from her chair.,0,48888
A woman sits on a chair against a blue wall beside a tennis court.,the woman is white,1,48888
A woman sits on a chair against a blue wall beside a tennis court.,A woman seated in a chair with a blue wall behind her by a tennis court.,0,48888
A man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling.,The man sits on the couch.,2,48935
A man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling.,Two men are swimming in a pool.,2,48935
A man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling.,A man is standing on a ladder.,0,48935
A person in a leather jacket with a skull on the back is holding the hand of another person wearing a skull backpack.,A person has a clean leather jacket.,1,48968
A person in a leather jacket with a skull on the back is holding the hand of another person wearing a skull backpack.,A person has a leather jacket.,0,48968
A person in a leather jacket with a skull on the back is holding the hand of another person wearing a skull backpack.,Two guys play basketball,2,48968
"A happy, excited boy on a roller coaster.","A happy, excited boy smiles on a roller coaster.",1,48985
"A happy, excited boy on a roller coaster.",A boy is on a roller coaster.,0,48985
"A happy, excited boy on a roller coaster.",A sad boy cries on a roller coaster.,2,48985
A person in a multicolored suit and helmet is performing a jump with a bike in a dull colored yard.,The person is performing BMX stunts.,1,48993
A person in a multicolored suit and helmet is performing a jump with a bike in a dull colored yard.,The suit has multiple colors.,0,48993
A person in a multicolored suit and helmet is performing a jump with a bike in a dull colored yard.,The person is bowling.,2,48993
"A cyclist in a red, yellow and black uniform, including a helmet is performing a trick on his bike.",A famous cyclist is preforming a trick.,1,48998
"A cyclist in a red, yellow and black uniform, including a helmet is performing a trick on his bike.",The cyclist performs a trick on his bike.,0,48998
"A cyclist in a red, yellow and black uniform, including a helmet is performing a trick on his bike.",Minions are gray.,2,48998
Two baseball players in blue jerseys and white pants stand on a pitcher's mound.,Three baseball players in blue jerseys and white pants stand on a pitcher's mound.,2,49005
Two baseball players in blue jerseys and white pants stand on a pitcher's mound.,Two tall baseball players in blue jerseys and white pants stand on a pitcher's mound.,1,49005
Two baseball players in blue jerseys and white pants stand on a pitcher's mound.,Two players in blue jerseys and white pants stand on a pitcher's mound.,0,49005
3 Asian tourists are looking out at the city while one of them takes a picture.,The tourists are taking the picture in New York City.,1,49018
3 Asian tourists are looking out at the city while one of them takes a picture.,A tourist takes a picture of their companions.,0,49018
3 Asian tourists are looking out at the city while one of them takes a picture.,4 Asian tourists are looking out at the city while one of them takes a picture.,2,49018
The water is very calm.,There is a hurricane going on.,2,49045
The water is very calm.,There isn't a ripple in the water.,1,49045
The water is very calm.,There are no waves i the water.,0,49045
A red gate allows access to the yard.,A wall is blocking the entrance to the yard,2,49069
A red gate allows access to the yard.,The yard is well kept,1,49069
A red gate allows access to the yard.,The yard has a dog.,1,49069
A woman is holding a white mug while a man in a pink shirt is looking at a laptop.,The mug is filled with coffee.,1,49078
A woman is holding a white mug while a man in a pink shirt is looking at a laptop.,There are no computers.,2,49078
A woman is holding a white mug while a man in a pink shirt is looking at a laptop.,Someone is holding a mug.,0,49078
An older man poses near wooden bowls on display.,The man helps his granddaughter get her kite into the air at the local area park,2,49131
An older man poses near wooden bowls on display.,An older man is posing near things on display.,0,49131
An older man poses near wooden bowls on display.,"The man is with his wife visiting the wooden bowl museum in Toledo, OH",1,49131
An older man is standing next to a display of wooden trays.,The man is standing up.,0,49133
An older man is standing next to a display of wooden trays.,The man is wearing a large hat.,1,49133
An older man is standing next to a display of wooden trays.,The man is sitting next to the trays.,2,49133
5 country farmers harvesting wheat.,5 farmers harvesting wheat in their farms,1,49177
5 country farmers harvesting wheat.,5 farmers harvesting wheat,0,49177
5 country farmers harvesting wheat.,5 farmers harvesting coconut,2,49177
Man with fishing nets walking out to sea near some islands.,The man is going fishing.,1,49213
Man with fishing nets walking out to sea near some islands.,The man is running with a fishing pole.,2,49213
Man with fishing nets walking out to sea near some islands.,The man is walking outside.,0,49213
Young people playing in the water.,Kids playing games in the water.,0,49243
Young people playing in the water.,Four boys playing water polo.,1,49243
Young people playing in the water.,Five men relax on the beach.,2,49243
A man is holding a bride's dress up to prevent it from getting dirty on a rain soaked boardwalk.,People outside on the day of a wedding,0,49248
A man is holding a bride's dress up to prevent it from getting dirty on a rain soaked boardwalk.,A man is outside.,0,49248
A man is holding a bride's dress up to prevent it from getting dirty on a rain soaked boardwalk.,The man is holding up his daughter's wedding dress.,1,49248
A brown dog carries something in his mouth while walking through snow.,A white cat walks through snow.,2,49253
A brown dog carries something in his mouth while walking through snow.,An animal walks through snow.,0,49253
A brown dog carries something in his mouth while walking through snow.,A brown dog hold a dead bird in its mouth while walking through snow.,1,49253
A little girl in a colorful dress and black boots holds a lollipop and plays near a fence.,There is girl in outdoors.,0,49266
A little girl in a colorful dress and black boots holds a lollipop and plays near a fence.,The girl is passing time near a fence.,1,49266
A little girl in a colorful dress and black boots holds a lollipop and plays near a fence.,The girl is seated in the bus.,2,49266
A white dog drinks water on a mountain.,A dog drinks water.,0,49273
A white dog drinks water on a mountain.,A dog drinks water from a mountain stream.,1,49273
A white dog drinks water on a mountain.,A cat drinks water from a bowl in the kitchen.,2,49273
A guy near the water working with wood.,guy making sure his farm is getting water,1,49280
A guy near the water working with wood.,guy working,0,49280
A guy near the water working with wood.,Guy swimming in the lake,2,49280
A tan dog runs through the brush.,A dog is running outside.,0,49343
A tan dog runs through the brush.,A cat is sleeping on a sunny windowsill.,2,49343
A tan dog runs through the brush.,A dog is chasing a squirrel through some bushes.,1,49343
A large brown and white bull tries his best to throw off a rodeo rider.,A bull is stomping on a crumpled professional bull rider.,2,49350
A large brown and white bull tries his best to throw off a rodeo rider.,Someone is riding a bull.,0,49350
A large brown and white bull tries his best to throw off a rodeo rider.,A bull rider is riding the fiercest bull at the rodeo.,1,49350
A young boy standing in the water with bushes and trees in the background.,Little boy standing in the water,0,49378
A young boy standing in the water with bushes and trees in the background.,A boy is splashing in the water,1,49378
A young boy standing in the water with bushes and trees in the background.,A small boy is running through the grass,2,49378
Two people eating food in the sunlight.,Two people eat in darkness.,2,49390
Two people eating food in the sunlight.,Two people eat beside a window.,1,49390
Two people eating food in the sunlight.,Two people eat.,0,49390
